26-01-2016 11:36:25	Main		TRACE	Logger initialized.
26-01-2016 11:36:25	PropertyReader		TRACE	Opening file: settings/settings.txt
26-01-2016 11:36:25	PropertyReader		INFO	File opened: settings/settings.txt
26-01-2016 11:36:25	PropertyReader		INFO	Loading properties file...
26-01-2016 11:36:25	PropertyReader		INFO	Mapped INFO to LOGGING_LEVEL
26-01-2016 11:36:25	PropertyReader		INFO	Mapped 100 to CAM_BUFFER_SIZE
26-01-2016 11:36:25	PropertyReader		INFO	Mapped 15 to CAM_POLL_FREQUENCY
26-01-2016 11:36:25	PropertyReader		INFO	Mapped 0 to CAM_INDEX
26-01-2016 11:36:25	PropertyReader		DEBUG	Loaded 4 properties successfully
26-01-2016 11:36:25	Transmitter		INFO	socket retrieve success
26-01-2016 11:37:58	Controller		INFO	Initializing Controller
26-01-2016 11:37:58	CameraInterface		INFO	Initializing camera
26-01-2016 11:37:58	CameraInterface		INFO	Opening video capture stream at position 0
26-01-2016 11:37:58	ControllerThread		INFO	Starting Controller Thread execution loop
26-01-2016 11:37:58	Transmitter		INFO	Starting Receiver Thread execution loop
26-01-2016 11:37:58	Receiver		INFO	Starting Receiver Thread execution loop
26-01-2016 11:37:59	CameraInterface		INFO	Read successful
26-01-2016 11:37:59	CameraInterface		INFO	Read successful
26-01-2016 11:37:59	CameraInterface		INFO	Read successful
26-01-2016 11:37:59	CameraInterface		INFO	Read successful
26-01-2016 11:37:59	CameraInterface		INFO	Read successful
26-01-2016 11:37:59	CameraInterface		INFO	Read successful
26-01-2016 11:38:00	CameraInterface		INFO	Read successful
26-01-2016 11:38:00	CameraInterface		INFO	Read successful
26-01-2016 11:38:00	CameraInterface		INFO	Read successful
26-01-2016 11:38:00	CameraInterface		INFO	Read successful
26-01-2016 11:38:00	CameraInterface		INFO	Read successful
26-01-2016 11:38:01	CameraInterface		INFO	Read successful
26-01-2016 11:38:01	CameraInterface		INFO	Read successful
26-01-2016 11:38:01	CameraInterface		INFO	Read successful
26-01-2016 11:38:01	CameraInterface		INFO	Read successful
26-01-2016 11:38:01	CameraInterface		INFO	Read successful
26-01-2016 11:38:02	CameraInterface		INFO	Read successful
26-01-2016 11:38:02	CameraInterface		INFO	Read successful
26-01-2016 11:38:02	CameraInterface		INFO	Read successful
26-01-2016 11:38:02	CameraInterface		INFO	Read successful
26-01-2016 11:38:02	CameraInterface		INFO	Read successful
26-01-2016 11:38:03	CameraInterface		INFO	Read successful
26-01-2016 11:38:03	CameraInterface		INFO	Read successful
26-01-2016 11:38:03	CameraInterface		INFO	Read successful
26-01-2016 11:38:03	CameraInterface		INFO	Read successful
26-01-2016 11:38:03	CameraInterface		INFO	Read successful
26-01-2016 11:38:04	CameraInterface		INFO	Read successful
