26-01-2016 11:21:25	Main		TRACE	Logger initialized.
26-01-2016 11:21:25	PropertyReader		TRACE	Opening file: settings/settings.txt
26-01-2016 11:21:25	PropertyReader		INFO	File opened: settings/settings.txt
26-01-2016 11:21:25	PropertyReader		INFO	Loading properties file...
26-01-2016 11:21:25	PropertyReader		INFO	Mapped INFO to LOGGING_LEVEL
26-01-2016 11:21:25	PropertyReader		INFO	Mapped 100 to CAM_BUFFER_SIZE
26-01-2016 11:21:25	PropertyReader		INFO	Mapped 15 to CAM_POLL_FREQUENCY
26-01-2016 11:21:25	PropertyReader		INFO	Mapped 0 to CAM_INDEX
26-01-2016 11:21:25	PropertyReader		DEBUG	Loaded 4 properties successfully
26-01-2016 11:21:25	Transmitter		INFO	socket retrieve success
26-01-2016 11:23:15	Controller		INFO	Initializing Controller
26-01-2016 11:23:15	CameraInterface		INFO	Initializing camera
26-01-2016 11:23:15	CameraInterface		INFO	Opening video capture stream at position 0
26-01-2016 11:23:15	ControllerThread		INFO	Starting Controller Thread execution loop
26-01-2016 11:23:15	ControllerThread		INFO	Starting Controller Thread execution loop
26-01-2016 11:23:15	Transmitter		INFO	Starting Receiver Thread execution loop
26-01-2016 11:23:15	ControllerThread		INFO	Starting Controller Thread execution loop
26-01-2016 11:23:15	Transmitter		INFO	Starting Receiver Thread execution loop
26-01-2016 11:23:15	Receiver		INFO	Starting Receiver Thread execution loop
26-01-2016 11:23:15	CameraInterface		INFO	Read successful
26-01-2016 11:23:16	CameraInterface		INFO	Read successful
26-01-2016 11:23:16	CameraInterface		INFO	Read successful
26-01-2016 11:23:16	CameraInterface		INFO	Read successful
26-01-2016 11:23:16	CameraInterface		INFO	Read successful
26-01-2016 11:23:16	CameraInterface		INFO	Read successful
26-01-2016 11:23:17	CameraInterface		INFO	Read successful
26-01-2016 11:23:17	CameraInterface		INFO	Read successful
26-01-2016 11:23:17	CameraInterface		INFO	Read successful
26-01-2016 11:23:17	CameraInterface		INFO	Read successful
26-01-2016 11:23:17	CameraInterface		INFO	Read successful
26-01-2016 11:23:18	CameraInterface		INFO	Read successful
26-01-2016 11:23:18	CameraInterface		INFO	Read successful
26-01-2016 11:23:18	CameraInterface		INFO	Read successful
26-01-2016 11:23:18	CameraInterface		INFO	Read successful
26-01-2016 11:23:18	CameraInterface		INFO	Read successful
26-01-2016 11:23:19	CameraInterface		INFO	Read successful
26-01-2016 11:23:19	CameraInterface		INFO	Read successful
26-01-2016 11:23:19	CameraInterface		INFO	Read successful
26-01-2016 11:23:19	CameraInterface		INFO	Read successful
26-01-2016 11:23:19	CameraInterface		INFO	Read successful
26-01-2016 11:23:20	CameraInterface		INFO	Read successful
26-01-2016 11:23:20	CameraInterface		INFO	Read successful
26-01-2016 11:23:20	CameraInterface		INFO	Read successful
26-01-2016 11:23:20	CameraInterface		INFO	Read successful
26-01-2016 11:23:20	CameraInterface		INFO	Read successful
