24-01-2016 03:24:12	Main		TRACE	Logger initialized.
24-01-2016 03:24:12	PropertyReader		TRACE	Opening file: settings/settings.txt
24-01-2016 03:24:12	PropertyReader		INFO	File opened: settings/settings.txt
24-01-2016 03:24:12	PropertyReader		INFO	Loading properties file...
24-01-2016 03:24:12	PropertyReader		INFO	Mapped INFO to LOGGING_LEVEL
24-01-2016 03:24:12	PropertyReader		INFO	Mapped 100 to CAM_BUFFER_SIZE
24-01-2016 03:24:12	PropertyReader		INFO	Mapped 15 to CAM_POLL_FREQUENCY
24-01-2016 03:24:12	PropertyReader		INFO	Mapped 0 to CAM_INDEX
24-01-2016 03:24:12	PropertyReader		DEBUG	Loaded 4 properties successfully
24-01-2016 03:24:12	CameraInterface		INFO	Initializing camera
24-01-2016 03:24:12	CameraInterface		INFO	Opening video capture stream at position 0
24-01-2016 03:24:12	CameraInterface		INFO	Read successful
24-01-2016 03:24:13	CameraInterface		INFO	Read successful
24-01-2016 03:24:13	CameraInterface		INFO	Read successful
24-01-2016 03:24:14	CameraInterface		INFO	Read successful
24-01-2016 03:24:14	CameraInterface		INFO	Read successful
24-01-2016 03:24:14	CameraInterface		INFO	Read successful
24-01-2016 03:24:15	CameraInterface		INFO	Read successful
24-01-2016 03:24:15	CameraInterface		INFO	Read successful
24-01-2016 03:24:15	CameraInterface		INFO	Read successful
24-01-2016 03:24:16	CameraInterface		INFO	Read successful
24-01-2016 03:24:17	CameraInterface		INFO	Read successful
24-01-2016 03:24:17	CameraInterface		INFO	Read successful
24-01-2016 03:24:18	CameraInterface		INFO	Read successful
24-01-2016 03:24:18	CameraInterface		INFO	Read successful
24-01-2016 03:24:19	CameraInterface		INFO	Read successful
24-01-2016 03:24:19	CameraInterface		INFO	Read successful
24-01-2016 03:24:20	CameraInterface		INFO	Read successful
24-01-2016 03:24:20	CameraInterface		INFO	Read successful
24-01-2016 03:24:21	CameraInterface		INFO	Read successful
24-01-2016 03:24:21	CameraInterface		INFO	Read successful
24-01-2016 03:24:22	CameraInterface		INFO	Read successful
24-01-2016 03:24:22	CameraInterface		INFO	Read successful
24-01-2016 03:24:22	CameraInterface		INFO	Read successful
24-01-2016 03:24:23	CameraInterface		INFO	Read successful
24-01-2016 03:24:23	CameraInterface		INFO	Read successful
24-01-2016 03:24:24	CameraInterface		INFO	Read successful
24-01-2016 03:24:24	CameraInterface		INFO	Read successful
24-01-2016 03:24:24	CameraInterface		INFO	Read successful
24-01-2016 03:24:25	CameraInterface		INFO	Read successful
24-01-2016 03:24:25	CameraInterface		INFO	Read successful
24-01-2016 03:24:25	CameraInterface		INFO	Read successful
24-01-2016 03:24:25	CameraInterface		INFO	Read successful
24-01-2016 03:24:26	CameraInterface		INFO	Read successful
24-01-2016 03:24:26	CameraInterface		INFO	Read successful
24-01-2016 03:24:26	CameraInterface		INFO	Read successful
24-01-2016 03:24:27	CameraInterface		INFO	Read successful
24-01-2016 03:24:27	CameraInterface		INFO	Read successful
24-01-2016 03:24:27	CameraInterface		INFO	Read successful
24-01-2016 03:24:28	CameraInterface		INFO	Read successful
24-01-2016 03:24:28	CameraInterface		INFO	Read successful
24-01-2016 03:24:28	CameraInterface		INFO	Read successful
24-01-2016 03:24:29	CameraInterface		INFO	Read successful
24-01-2016 03:24:29	CameraInterface		INFO	Read successful
24-01-2016 03:24:29	CameraInterface		INFO	Read successful
24-01-2016 03:24:30	CameraInterface		INFO	Read successful
24-01-2016 03:24:30	CameraInterface		INFO	Read successful
24-01-2016 03:24:30	CameraInterface		INFO	Read successful
24-01-2016 03:24:30	CameraInterface		INFO	Read successful
24-01-2016 03:24:31	CameraInterface		INFO	Read successful
24-01-2016 03:24:31	CameraInterface		INFO	Read successful
24-01-2016 03:24:32	CameraInterface		INFO	Read successful
24-01-2016 03:24:32	CameraInterface		INFO	Read successful
24-01-2016 03:24:32	CameraInterface		INFO	Read successful
24-01-2016 03:24:33	CameraInterface		INFO	Read successful
24-01-2016 03:24:33	CameraInterface		INFO	Read successful
24-01-2016 03:24:34	CameraInterface		INFO	Read successful
24-01-2016 03:24:34	CameraInterface		INFO	Read successful
24-01-2016 03:24:35	CameraInterface		INFO	Read successful
24-01-2016 03:24:35	CameraInterface		INFO	Read successful
24-01-2016 03:24:35	CameraInterface		INFO	Read successful
24-01-2016 03:24:36	CameraInterface		INFO	Read successful
24-01-2016 03:24:36	CameraInterface		INFO	Read successful
24-01-2016 03:24:36	CameraInterface		INFO	Read successful
24-01-2016 03:24:37	CameraInterface		INFO	Read successful
24-01-2016 03:24:37	CameraInterface		INFO	Read successful
24-01-2016 03:24:37	CameraInterface		INFO	Read successful
24-01-2016 03:24:38	CameraInterface		INFO	Read successful
24-01-2016 03:24:38	CameraInterface		INFO	Read successful
24-01-2016 03:24:39	CameraInterface		INFO	Read successful
24-01-2016 03:24:39	CameraInterface		INFO	Read successful
24-01-2016 03:24:39	CameraInterface		INFO	Read successful
