25-01-2016 07:13:25	Main		TRACE	Logger initialized.
25-01-2016 07:13:25	PropertyReader		TRACE	Opening file: settings/settings.txt
25-01-2016 07:13:25	PropertyReader		INFO	File opened: settings/settings.txt
25-01-2016 07:13:25	PropertyReader		INFO	Loading properties file...
25-01-2016 07:13:25	PropertyReader		INFO	Mapped INFO to LOGGING_LEVEL
25-01-2016 07:13:25	PropertyReader		INFO	Mapped 100 to CAM_BUFFER_SIZE
25-01-2016 07:13:25	PropertyReader		INFO	Mapped 15 to CAM_POLL_FREQUENCY
25-01-2016 07:13:25	PropertyReader		INFO	Mapped 0 to CAM_INDEX
25-01-2016 07:13:25	PropertyReader		DEBUG	Loaded 4 properties successfully
25-01-2016 07:13:25	Transmitter		INFO	socket retrieve success
25-01-2016 07:13:58	Controller		INFO	Initializing Controller
25-01-2016 07:13:58	CameraInterface		INFO	Initializing camera
25-01-2016 07:13:58	CameraInterface		INFO	Opening video capture stream at position 0
25-01-2016 07:13:58	Receiver		INFO	Starting Receiver Thread execution loop
25-01-2016 07:13:58	Transmitter		INFO	Starting Receiver Thread execution loop
25-01-2016 07:13:58	ControllerThread		INFO	Starting Controller Thread execution loop
25-01-2016 07:13:59	CameraInterface		INFO	Read successful
25-01-2016 07:14:01	Transmitter		INFO	د؈
25-01-2016 07:14:01	CameraInterface		INFO	Read successful
25-01-2016 07:14:04	CameraInterface		INFO	Read successful
25-01-2016 07:14:05	Transmitter		INFO	د؈
25-01-2016 07:14:08	CameraInterface		INFO	Read successful
25-01-2016 07:14:08	Transmitter		INFO	د؈
25-01-2016 07:14:11	CameraInterface		INFO	Read successful
25-01-2016 07:14:11	Transmitter		INFO	د؈
25-01-2016 07:14:14	CameraInterface		INFO	Read successful
25-01-2016 07:14:14	Transmitter		INFO	د؈
25-01-2016 07:14:17	CameraInterface		INFO	Read successful
25-01-2016 07:14:18	Transmitter		INFO	د؈
25-01-2016 07:14:21	CameraInterface		INFO	Read successful
25-01-2016 07:14:21	Transmitter		INFO	د؈
25-01-2016 07:14:24	CameraInterface		INFO	Read successful
25-01-2016 07:14:24	Transmitter		INFO	د؈
