25-01-2016 08:56:42	Main		TRACE	Logger initialized.
25-01-2016 08:56:42	PropertyReader		TRACE	Opening file: settings/settings.txt
25-01-2016 08:56:42	PropertyReader		INFO	File opened: settings/settings.txt
25-01-2016 08:56:42	PropertyReader		INFO	Loading properties file...
25-01-2016 08:56:42	PropertyReader		INFO	Mapped INFO to LOGGING_LEVEL
25-01-2016 08:56:42	PropertyReader		INFO	Mapped 100 to CAM_BUFFER_SIZE
25-01-2016 08:56:42	PropertyReader		INFO	Mapped 15 to CAM_POLL_FREQUENCY
25-01-2016 08:56:42	PropertyReader		INFO	Mapped 0 to CAM_INDEX
25-01-2016 08:56:42	PropertyReader		DEBUG	Loaded 4 properties successfully
25-01-2016 08:56:42	Transmitter		INFO	socket retrieve success
25-01-2016 08:56:53	Controller		INFO	Initializing Controller
25-01-2016 08:56:53	CameraInterface		INFO	Initializing camera
25-01-2016 08:56:53	CameraInterface		INFO	Opening video capture stream at position 0
25-01-2016 08:56:53	Receiver		INFO	Starting Receiver Thread execution loop
25-01-2016 08:56:53	Transmitter		INFO	Starting Receiver Thread execution loop
25-01-2016 08:56:53	Receiver		INFO	Starting Receiver Thread execution loop
25-01-2016 08:56:53	ControllerThread		INFO	Starting Controller Thread execution loop
25-01-2016 08:56:54	CameraInterface		INFO	Read successful
25-01-2016 08:56:56	Transmitter		INFO	د؈
25-01-2016 08:56:57	CameraInterface		INFO	Read successful
25-01-2016 08:57:00	CameraInterface		INFO	Read successful
25-01-2016 08:57:00	Transmitter		INFO	د؈
25-01-2016 08:57:03	CameraInterface		INFO	Read successful
25-01-2016 08:57:04	Transmitter		INFO	د؈
25-01-2016 08:57:07	CameraInterface		INFO	Read successful
25-01-2016 08:57:07	Transmitter		INFO	د؈
25-01-2016 08:57:10	CameraInterface		INFO	Read successful
25-01-2016 08:57:10	Transmitter		INFO	د؈
25-01-2016 08:57:13	CameraInterface		INFO	Read successful
25-01-2016 08:57:14	Transmitter		INFO	د؈
25-01-2016 08:57:17	CameraInterface		INFO	Read successful
25-01-2016 08:57:17	Transmitter		INFO	د؈
25-01-2016 08:57:20	CameraInterface		INFO	Read successful
25-01-2016 08:57:20	Transmitter		INFO	د؈
25-01-2016 08:57:23	CameraInterface		INFO	Read successful
25-01-2016 08:57:23	Transmitter		INFO	د؈
25-01-2016 08:57:27	CameraInterface		INFO	Read successful
25-01-2016 08:57:27	Transmitter		INFO	د؈
25-01-2016 08:57:30	CameraInterface		INFO	Read successful
25-01-2016 08:57:30	Transmitter		INFO	د؈
25-01-2016 08:57:33	CameraInterface		INFO	Read successful
25-01-2016 08:57:34	Transmitter		INFO	د؈
25-01-2016 08:57:37	CameraInterface		INFO	Read successful
25-01-2016 08:57:37	Transmitter		INFO	د؈
