24-01-2016 03:24:44	Main		TRACE	Logger initialized.
24-01-2016 03:24:44	PropertyReader		TRACE	Opening file: settings/settings.txt
24-01-2016 03:24:44	PropertyReader		INFO	File opened: settings/settings.txt
24-01-2016 03:24:44	PropertyReader		INFO	Loading properties file...
24-01-2016 03:24:44	PropertyReader		INFO	Mapped INFO to LOGGING_LEVEL
24-01-2016 03:24:44	PropertyReader		INFO	Mapped 100 to CAM_BUFFER_SIZE
24-01-2016 03:24:44	PropertyReader		INFO	Mapped 15 to CAM_POLL_FREQUENCY
24-01-2016 03:24:44	PropertyReader		INFO	Mapped 0 to CAM_INDEX
24-01-2016 03:24:44	PropertyReader		DEBUG	Loaded 4 properties successfully
24-01-2016 03:24:44	CameraInterface		INFO	Initializing camera
24-01-2016 03:24:44	CameraInterface		INFO	Opening video capture stream at position 0
24-01-2016 03:24:45	CameraInterface		INFO	Read successful
24-01-2016 03:24:46	CameraInterface		INFO	Read successful
24-01-2016 03:24:46	CameraInterface		INFO	Read successful
24-01-2016 03:24:47	CameraInterface		INFO	Read successful
24-01-2016 03:24:47	CameraInterface		INFO	Read successful
24-01-2016 03:24:47	CameraInterface		INFO	Read successful
24-01-2016 03:24:48	CameraInterface		INFO	Read successful
24-01-2016 03:24:48	CameraInterface		INFO	Read successful
24-01-2016 03:24:49	CameraInterface		INFO	Read successful
24-01-2016 03:24:49	CameraInterface		INFO	Read successful
24-01-2016 03:24:49	CameraInterface		INFO	Read successful
24-01-2016 03:24:50	CameraInterface		INFO	Read successful
24-01-2016 03:24:51	CameraInterface		INFO	Read successful
24-01-2016 03:24:51	CameraInterface		INFO	Read successful
24-01-2016 03:24:52	CameraInterface		INFO	Read successful
24-01-2016 03:24:52	CameraInterface		INFO	Read successful
24-01-2016 03:24:53	CameraInterface		INFO	Read successful
24-01-2016 03:24:54	CameraInterface		INFO	Read successful
24-01-2016 03:24:54	CameraInterface		INFO	Read successful
24-01-2016 03:24:55	CameraInterface		INFO	Read successful
24-01-2016 03:24:55	CameraInterface		INFO	Read successful
24-01-2016 03:24:56	CameraInterface		INFO	Read successful
24-01-2016 03:24:56	CameraInterface		INFO	Read successful
24-01-2016 03:24:57	CameraInterface		INFO	Read successful
24-01-2016 03:24:57	CameraInterface		INFO	Read successful
24-01-2016 03:24:58	CameraInterface		INFO	Read successful
24-01-2016 03:24:58	CameraInterface		INFO	Read successful
24-01-2016 03:24:59	CameraInterface		INFO	Read successful
24-01-2016 03:25:00	CameraInterface		INFO	Read successful
24-01-2016 03:25:00	CameraInterface		INFO	Read successful
24-01-2016 03:25:01	CameraInterface		INFO	Read successful
24-01-2016 03:25:01	CameraInterface		INFO	Read successful
24-01-2016 03:25:02	CameraInterface		INFO	Read successful
24-01-2016 03:25:02	CameraInterface		INFO	Read successful
24-01-2016 03:25:03	CameraInterface		INFO	Read successful
24-01-2016 03:25:03	CameraInterface		INFO	Read successful
24-01-2016 03:25:04	CameraInterface		INFO	Read successful
24-01-2016 03:25:04	CameraInterface		INFO	Read successful
24-01-2016 03:25:05	CameraInterface		INFO	Read successful
24-01-2016 03:25:05	CameraInterface		INFO	Read successful
24-01-2016 03:25:06	CameraInterface		INFO	Read successful
24-01-2016 03:25:07	CameraInterface		INFO	Read successful
24-01-2016 03:25:07	CameraInterface		INFO	Read successful
24-01-2016 03:25:08	CameraInterface		INFO	Read successful
24-01-2016 03:25:08	CameraInterface		INFO	Read successful
24-01-2016 03:25:09	CameraInterface		INFO	Read successful
24-01-2016 03:25:09	CameraInterface		INFO	Read successful
24-01-2016 03:25:10	CameraInterface		INFO	Read successful
24-01-2016 03:25:10	CameraInterface		INFO	Read successful
24-01-2016 03:25:11	CameraInterface		INFO	Read successful
24-01-2016 03:25:11	CameraInterface		INFO	Read successful
24-01-2016 03:25:12	CameraInterface		INFO	Read successful
24-01-2016 03:25:12	CameraInterface		INFO	Read successful
24-01-2016 03:25:13	CameraInterface		INFO	Read successful
24-01-2016 03:25:13	CameraInterface		INFO	Read successful
24-01-2016 03:25:14	CameraInterface		INFO	Read successful
24-01-2016 03:25:15	CameraInterface		INFO	Read successful
24-01-2016 03:25:15	CameraInterface		INFO	Read successful
24-01-2016 03:25:16	CameraInterface		INFO	Read successful
24-01-2016 03:25:16	CameraInterface		INFO	Read successful
24-01-2016 03:25:17	CameraInterface		INFO	Read successful
24-01-2016 03:25:17	CameraInterface		INFO	Read successful
24-01-2016 03:25:18	CameraInterface		INFO	Read successful
24-01-2016 03:25:18	CameraInterface		INFO	Read successful
24-01-2016 03:25:19	CameraInterface		INFO	Read successful
24-01-2016 03:25:20	CameraInterface		INFO	Read successful
24-01-2016 03:25:21	CameraInterface		INFO	Read successful
24-01-2016 03:25:21	CameraInterface		INFO	Read successful
24-01-2016 03:25:22	CameraInterface		INFO	Read successful
24-01-2016 03:25:22	CameraInterface		INFO	Read successful
24-01-2016 03:25:23	CameraInterface		INFO	Read successful
24-01-2016 03:25:23	CameraInterface		INFO	Read successful
24-01-2016 03:25:25	CameraInterface		INFO	Read successful
