26-01-2016 12:30:42	Main		TRACE	Logger initialized.
26-01-2016 12:30:42	PropertyReader		TRACE	Opening file: settings/settings.txt
26-01-2016 12:30:42	PropertyReader		INFO	File opened: settings/settings.txt
26-01-2016 12:30:42	PropertyReader		INFO	Loading properties file...
26-01-2016 12:30:42	PropertyReader		INFO	Mapped INFO to LOGGING_LEVEL
26-01-2016 12:30:42	PropertyReader		INFO	Mapped 100 to CAM_BUFFER_SIZE
26-01-2016 12:30:42	PropertyReader		INFO	Mapped 15 to CAM_POLL_FREQUENCY
26-01-2016 12:30:42	PropertyReader		INFO	Mapped 0 to CAM_INDEX
26-01-2016 12:30:42	PropertyReader		DEBUG	Loaded 4 properties successfully
26-01-2016 12:30:42	Transmitter		INFO	socket retrieve success
26-01-2016 12:41:38	Controller		INFO	Initializing Controller
26-01-2016 12:41:38	CameraInterface		INFO	Initializing camera
26-01-2016 12:41:38	CameraInterface		INFO	Opening video capture stream at position 0
26-01-2016 12:41:38	Receiver		INFO	Starting Receiver Thread execution loop
26-01-2016 12:41:38	Receiver		INFO	Starting Receiver Thread execution loop
26-01-2016 12:41:38	Transmitter		INFO	Starting Receiver Thread execution loop
26-01-2016 12:41:38	Receiver		INFO	Starting Receiver Thread execution loop
26-01-2016 12:41:38	Transmitter		INFO	Starting Receiver Thread execution loop
26-01-2016 12:41:38	ControllerThread		INFO	Starting Controller Thread execution loop
26-01-2016 12:41:39	CameraInterface		INFO	Read successful
26-01-2016 12:41:39	Transmitter		INFO	rows and cols
26-01-2016 12:41:39	Transmitter		INFO	960
26-01-2016 12:41:39	Transmitter		INFO	1280
26-01-2016 12:41:39	CameraInterface		INFO	Read successful
26-01-2016 12:41:39	CameraInterface		INFO	Read successful
26-01-2016 12:41:40	CameraInterface		INFO	Read successful
26-01-2016 12:41:40	CameraInterface		INFO	Read successful
26-01-2016 12:41:40	CameraInterface		INFO	Read successful
26-01-2016 12:41:41	CameraInterface		INFO	Read successful
26-01-2016 12:41:41	CameraInterface		INFO	Read successful
26-01-2016 12:41:42	CameraInterface		INFO	Read successful
26-01-2016 12:41:42	Transmitter		INFO	rows and cols
26-01-2016 12:41:42	Transmitter		INFO	960
26-01-2016 12:41:42	Transmitter		INFO	1280
26-01-2016 12:41:42	CameraInterface		INFO	Read successful
26-01-2016 12:41:42	CameraInterface		INFO	Read successful
26-01-2016 12:41:43	CameraInterface		INFO	Read successful
26-01-2016 12:41:43	CameraInterface		INFO	Read successful
26-01-2016 12:41:43	CameraInterface		INFO	Read successful
26-01-2016 12:41:43	CameraInterface		INFO	Read successful
26-01-2016 12:41:43	CameraInterface		INFO	Read successful
26-01-2016 12:41:44	CameraInterface		INFO	Read successful
26-01-2016 12:41:44	CameraInterface		INFO	Read successful
26-01-2016 12:41:44	CameraInterface		INFO	Read successful
26-01-2016 12:41:45	CameraInterface		INFO	Read successful
26-01-2016 12:41:46	CameraInterface		INFO	Read successful
26-01-2016 12:41:46	CameraInterface		INFO	Read successful
26-01-2016 12:41:46	CameraInterface		INFO	Read successful
26-01-2016 12:41:46	CameraInterface		INFO	Read successful
26-01-2016 12:41:46	CameraInterface		INFO	Read successful
26-01-2016 12:41:46	CameraInterface		INFO	Read successful
26-01-2016 12:41:47	CameraInterface		INFO	Read successful
26-01-2016 12:41:47	CameraInterface		INFO	Read successful
26-01-2016 12:41:47	CameraInterface		INFO	Read successful
26-01-2016 12:41:47	CameraInterface		INFO	Read successful
26-01-2016 12:41:47	CameraInterface		INFO	Read successful
26-01-2016 12:41:47	CameraInterface		INFO	Read successful
26-01-2016 12:41:47	CameraInterface		INFO	Read successful
26-01-2016 12:41:48	CameraInterface		INFO	Read successful
26-01-2016 12:41:48	CameraInterface		INFO	Read successful
26-01-2016 12:41:48	Transmitter		INFO	rows and cols
26-01-2016 12:41:48	Transmitter		INFO	960
26-01-2016 12:41:48	Transmitter		INFO	1280
