25-01-2016 08:48:49	Main		TRACE	Logger initialized.
25-01-2016 08:48:49	PropertyReader		TRACE	Opening file: settings/settings.txt
25-01-2016 08:48:49	PropertyReader		INFO	File opened: settings/settings.txt
25-01-2016 08:48:49	PropertyReader		INFO	Loading properties file...
25-01-2016 08:48:49	PropertyReader		INFO	Mapped INFO to LOGGING_LEVEL
25-01-2016 08:48:49	PropertyReader		INFO	Mapped 100 to CAM_BUFFER_SIZE
25-01-2016 08:48:49	PropertyReader		INFO	Mapped 15 to CAM_POLL_FREQUENCY
25-01-2016 08:48:49	PropertyReader		INFO	Mapped 0 to CAM_INDEX
25-01-2016 08:48:49	PropertyReader		DEBUG	Loaded 4 properties successfully
25-01-2016 08:48:49	Transmitter		INFO	socket retrieve success
25-01-2016 08:48:55	Controller		INFO	Initializing Controller
25-01-2016 08:48:55	CameraInterface		INFO	Initializing camera
25-01-2016 08:48:55	CameraInterface		INFO	Opening video capture stream at position 0
25-01-2016 08:48:55	Transmitter		INFO	Starting Receiver Thread execution loop
25-01-2016 08:48:55	Receiver		INFO	Starting Receiver Thread execution loop
25-01-2016 08:48:55	ControllerThread		INFO	Starting Controller Thread execution loop
25-01-2016 08:48:56	CameraInterface		INFO	Read successful
25-01-2016 08:48:56	Transmitter		INFO	rows and cols
25-01-2016 08:48:56	Transmitter		INFO	960
25-01-2016 08:48:56	Transmitter		INFO	1280
25-01-2016 08:48:56	CameraInterface		INFO	Read successful
25-01-2016 08:48:57	CameraInterface		INFO	Read successful
25-01-2016 08:48:57	CameraInterface		INFO	Read successful
25-01-2016 08:48:58	CameraInterface		INFO	Read successful
25-01-2016 08:48:58	CameraInterface		INFO	Read successful
25-01-2016 08:48:58	CameraInterface		INFO	Read successful
25-01-2016 08:48:59	CameraInterface		INFO	Read successful
25-01-2016 08:48:59	Transmitter		INFO	rows and cols
25-01-2016 08:48:59	Transmitter		INFO	960
25-01-2016 08:48:59	Transmitter		INFO	1280
25-01-2016 08:48:59	CameraInterface		INFO	Read successful
25-01-2016 08:49:00	CameraInterface		INFO	Read successful
25-01-2016 08:49:00	CameraInterface		INFO	Read successful
25-01-2016 08:49:00	CameraInterface		INFO	Read successful
25-01-2016 08:49:00	CameraInterface		INFO	Read successful
25-01-2016 08:49:01	CameraInterface		INFO	Read successful
25-01-2016 08:49:01	CameraInterface		INFO	Read successful
25-01-2016 08:49:01	CameraInterface		INFO	Read successful
25-01-2016 08:49:01	CameraInterface		INFO	Read successful
25-01-2016 08:49:01	CameraInterface		INFO	Read successful
25-01-2016 08:49:01	CameraInterface		INFO	Read successful
25-01-2016 08:49:02	CameraInterface		INFO	Read successful
25-01-2016 08:49:02	Transmitter		INFO	rows and cols
25-01-2016 08:49:02	Transmitter		INFO	960
25-01-2016 08:49:02	Transmitter		INFO	1280
